EcopathName,CameoName,Region,CombinedEcopathName,TrophicLevel,LengthAtMat,
Demersal benthivores,Windowpane,GoM,,,,
Demersal benthivores,Winter flounder,GoM,,,,
Demersal benthivores,Witch flounder,GoM,,,,
Demersal benthivores,Yellowtail flounder,GoM,,,,
Small pelagics- commercial,Atlantic butterfish,GoM,,,,
Small pelagics- commercial,Atlantic herring,GoM,,,,
Small pelagics- commercial,Atlantic mackerel,GoM,,,,
Demersals piscivores,Atlantic cod,GoM,,,,
Demersals piscivores,Atlantic halibut,GoM,,,,
Demersals piscivores,Goosefish,GoM,,,,
Demersals piscivores,Pollock,GoM,,,,
Demersals piscivores,Silver hake,GoM,,,,
Demersals piscivores,Spiny dogfish,GoM,,,,
Demersals piscivores,Summer flounder,GoM,,,,
Demersals piscivores,White hake,GoM,,,,
Squids,Longfin squid,GoM,,,,
Squids,Shortfin squid,GoM,,,,
Small pelagics- other,Northern sand lance,GoM,,,,
Demersals omnivores,Skates (NS),GoM,,,,
Demersal benthivores,American plaice,GB,,,,
Demersal benthivores,Atlantic redfishes (NS),GB,,,,
Demersal benthivores,Atlantic wolffish,GB,,,,
Demersal benthivores,Fourspot flounder,GB,,,,
Demersal benthivores,Haddock,GB,,,,
Demersal benthivores,Ocean pout,GB,,,,
Demersal benthivores,Red hake,GB,,,,
Demersal benthivores,Scup,GB,,,,
Demersal benthivores,Windowpane,GB,,,,
Demersal benthivores,Winter flounder,GB,,,,
Demersal benthivores,Witch flounder,GB,,,,
Demersal benthivores,Yellowtail flounder,GB,,,,
Small pelagics- commercial,Atlantic butterfish,GB,,,,
Small pelagics- commercial,Atlantic herring,GB,,,,
Small pelagics- commercial,Atlantic mackerel,GB,,,,
Demersals piscivores,Atlantic cod,GB,,,,
Demersals piscivores,Atlantic halibut,GB,,,,
Demersals piscivores,Goosefish,GB,,,,
Demersals piscivores,Pollock,GB,,,,
Demersals piscivores,Silver hake,GB,,,,
Demersals piscivores,Spiny dogfish,GB,,,,
Demersals piscivores,Summer flounder,GB,,,,
Demersals piscivores,White hake,GB,,,,
Demersals piscivores,Smooth dogfish,GB,,,,
Squids,Longfin squid,GB,,,,
Squids,Shortfin squid,GB,,,,
Small pelagics- other,Northern sand lance,GB,,,,
Demersals omnivores,Skates (NS),GB,,,,
W. Pollock_Juv,Walleye pollock,EBS,Pollock,,,
W. Pollock,Walleye pollock,EBS,Pollock,,,
P. Cod_Juv,Pacific cod,EBS,Cod,,,
P. Cod,Pacific cod,EBS,Cod,,,
Herring_Juv,Pacific herring,EBS,all.herring,,,
Herring,Pacific herring,EBS,all.herring,,,
Arrowtooth_Juv,Arrowtooth flounder,EBS,Arrowtooth,,,
Arrowtooth,Arrowtooth flounder,EBS,Arrowtooth,,,
P. Halibut_Juv,Pacific halibut,EBS,Halibut,,,
P. Halibut,Pacific halibut,EBS,Halibut,,,
FH. Sole_Juv,Flathead sole,EBS,Flathead,,,
FH. Sole,Flathead sole,EBS,Flathead,,,
Dover Sole,Dover sole,EBS,,,,
Rex Sole,Rex sole,EBS,,,,
Sablefish_Juv,Sablefish,EBS,all.sablefish,,,
Sablefish,Sablefish,EBS,all.sablefish,,,
POP,Pacific ocean perch,EBS,,,,
Northern Rock,Northern rockfish,EBS,,,,
Dusky Rock,Dusky rockfish,EBS,,,,
Rougheye Rock,Rougheye rockfish,EBS,,,,
Salmon returning,Pacific salmon,EBS,Salmon,,,
Salmon outgoing,Pacific salmon,EBS,Salmon,,,
AK Plaice,Alaska plaice,EBS,,,,
Atka mackerel,Atka mackerel,EBS,Mackerel,,,
Atka mackerel_Juv,Atka mackerel,EBS,Mackerel,,,
Alaska skate,Alaska skate,EBS,,,,
Capelin,Capelin,EBS,,,,
Eelpouts,Eelpouts (NS),EBS,,,,
Eulachon,Eulachon,EBS,,,,
Greenlings,Greenlings (NS),EBS,,,,
Lg. Sculpins,Large sculpins (NS),EBS,,,,
N. Rock sole_Juv,Northern rock sole,EBS,Rock.sole,,,
N. Rock sole,Northern rock sole,EBS,Rock.sole,,,
Octopi ,Octopi (NS),EBS,,,,
Sandlance,Pacific sand lance,EBS,,,,
Pandalidae,Pandalid shrimps (NS),EBS,,,,
Other sculpins,Sculpins other (NS),EBS,,,,
Other skates,Skates (NS),EBS,,,,
Sleeper shark,Sleeper shark,EBS,,,,
YF. Sole_Juv,Yellowfin sole,EBS,Yellowfin,,,
YF. Sole,Yellowfin sole,EBS,Yellowfin,,,
Gr. Turbot_Juv,Greenland halibut,EBS,Turbot,,,
Gr. Turbot,Greenland halibut,EBS,Turbot,,,
Kamchatka fl._Juv,Kamchatka flounder,EBS,Kamchatka,,,
Kamchatka fl.,Kamchatka flounder,EBS,Kamchatka,,,
Squids,Squids (NS),EBS,,,,
King Crab,King crab,EBS,,,,
NP shrimp,Shrimps (NS),EBS,,,,
Sea stars,Sea stars (NS),EBS,,,,
Brittle stars,Brittle stars (NS),EBS,,,,
Hermit crabs,Hermit crabs (NS),EBS,,,,
Corals,Corals (NS),EBS,,,,
