GroupName,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discards,Offal,Pelagic Detritus,Benthic Detritus,Outside Detritus,Pollock Trawl,Cod Trawl,Cod Pots,Cod Longline,Atka Trawl,RSflats_TWL,YFSflats_TWL,ATFflats_TWL,FHSflats_TWL,Oth_Flatfish_TWL,Turbot Trawl,Turbot Longline,Sablefish Longline,Rockfish Trawl,Halibut Longline,Crab Pots,Salmon Fishery,Herring Fishery,Indigenous,Subsistence,disc_Pollock Trawl,disc_Cod Trawl,disc_Cod Pots,disc_Cod Longline,disc_Atka Trawl,disc_RSflats_TWL,disc_YFSflats_TWL,disc_ATFflats_TWL,disc_FHSflats_TWL,disc_Oth_Flatfish_TWL,disc_Turbot Trawl,disc_Turbot Longline,disc_Sablefish Longline,disc_Rockfish Trawl,disc_Halibut Longline,disc_Crab Pots,disc_Salmon Fishery,disc_Herring Fishery,disc_Indigenous,disc_Subsistence
AK Plaice,0,1.068403,0.2,2,,,0,0.2,,0,0.02,0.392,0.588,0,0.00123862,0.0003471,6.73E-08,1.50E-05,1.04E-05,0.000733283,0.00230255,1.41E-05,0.002054143,1.54E-06,0.00000294,4.03E-07,3.05E-08,8.18E-05,0,0,0,0,0,0,0.004845371,0.002515598,5.25E-07,0.000208938,4.66E-05,0.003223655,0.01021276,0.000004591,0.002220858,2.49E-06,1.02E-05,3.06E-05,6.49E-07,0.000076846,0,0,0,0,0,0
Dover Sole,0,0.000229773,0.2,2,,,0,0.2,,0,0.02,0.392,0.588,0,1.38E-08,0,0,0,0,0,0,2.41E-07,9.14E-08,0,0,0,0,0,0,0,0,0,0,0,0.000000011,6.89E-08,0,7.50E-09,9.00E-10,6.40E-09,6.02E-07,7.61E-08,6.93E-08,0,1.48E-08,1.11E-08,0,5.36E-08,0,0,0,0,0,0
Rex Sole,0,0.04062556,0.2,2,,,0,0.2,,0,0.02,0.392,0.588,0,8.55E-05,0.000171252,0,0,4.54E-05,2.87E-05,2.74E-05,4.46E-06,7.01E-05,0,0.000050961,0,0,2.64E-05,0,0,0,0,0,0,7.41E-05,2.23E-05,2.20E-09,0,0.000009023,1.25E-05,0.000009393,1.39E-06,2.49E-05,0,1.88E-05,0,0,0,0,0,0,0,0,0
Misc. Flatfish,0,0.2216919,0.2,2,,,0,0.2,,0,0.02,0.392,0.588,0,0.00029533,8.28E-05,0.000000016,3.59E-06,2.47E-06,0.00017484,0.000549008,0.000003356,0.000489779,0,0.000000701,9.61E-08,7.30E-09,1.95E-05,0,0,0,0,0,0,0.001155304,0.000599805,1.25E-07,0.000049818,1.11E-05,0.000768631,0.002435075,1.09E-06,0.000529529,0,0.000002436,7.30E-06,1.55E-07,1.83E-05,0,0,0,0,0,0
Alaska skate,0,0.6804544,0.2,2,,,0,0.2,,0,0.02,0.392,0.588,0,0.000205341,0.000059897,2.12E-07,0.003110028,0,5.00E-05,0.000187176,1.94E-06,3.57E-05,0,1.17E-05,1.73E-06,0,3.14E-05,0,0,0,0,0,0,0.000848765,0.001651754,2.77E-08,0.0144509,9.53E-06,0.001086686,0.001843632,7.94E-06,0.000325541,0,4.96E-05,9.42E-05,0.000118773,0.000073117,6.94E-06,0,0,0,0,0
Other skates,0,0.09293227,0.2,2,,,0,0.2,,0,0.02,0.392,0.588,0,3.32E-05,0.000009685,3.43E-08,0.000502876,0,0.000008084,3.03E-05,3.14E-07,5.77E-06,0,1.89E-06,2.79E-07,0,5.07E-06,0,0,0,0,0,0,0.000137245,0.00026708,4.50E-09,0.002336637,1.54E-06,0.000175712,0.000298106,1.28E-06,5.26E-05,0,8.01E-06,0.000015231,0.000019205,1.18E-05,0.000117952,0,0,0,0,0
Sablefish_Juv,0,0.003844913,2.266157,2.964147,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sablefish,0,0.03144638,0.19,1.03,,,0,0.2,,0,0.02,0.392,0.588,0,7.32E-06,1.46E-05,1.45E-05,0.000193142,4.79E-05,1.93E-05,0.000002701,3.08E-06,7.51E-06,0,0.000336802,0.000525105,0.001161117,5.91E-06,0.000335446,0,0,0,0,0,3.94E-06,5.69E-07,3.41E-08,0.000020725,9.26E-06,3.45E-06,1.63E-08,1.21E-06,1.41E-05,0,2.45E-05,0.000005175,0.000006376,0.000004957,0,0,0,0,0,0
Eelpouts,0,2.371533,0.4,2,,,0,0.2,,0,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenadiers,0,0.968099,0.15,2,,,0,0.2,,0,0.02,0.392,0.588,0,3.19E-05,0,1.91E-08,0,0,0,1.79E-07,1.56E-08,0,0,1.81E-07,0.000004074,0,0,0,0,0,0,0,0,9.05E-05,6.13E-06,6.98E-06,0.000738198,0.000001839,0,1.47E-06,7.28E-07,7.80E-06,0,6.97E-05,0.001615352,0.001066585,0.000646452,0,0,0,0,0,0
