stockid,tsn,scientificname,commonname,areaid,stocklong,region,inmyersdb,myersstockid
HAD4X5Y,164744,Melanogrammus aeglefinus,Haddock,Canada-DFO-4X5Y,Haddock NAFO-4X5Y,Canada East Coast,0,NA
HAD5Y,164744,Melanogrammus aeglefinus,Haddock,USA-NMFS-5Y,Haddock NAFO-5Y,US East Coast,1,HAD5Y
HADFAPL,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-Vb1,Haddock Faroe Plateau,Europe non EU,1,HADFAPL
HADGB,164744,Melanogrammus aeglefinus,Haddock,USA-NMFS-5Z,Haddock Georges Bank,US East Coast,1,HAD5Z
HADICE,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-Va,Haddock Iceland,Europe non EU,1,HADICE
HADIS,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIIa,Haddock Irish Sea,European Union,1,HADIS
HADNEAR,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-I-II,Haddock Northeast Arctic,Europe non EU,1,HADNEAR
HADNS-IIIa,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-IIIa-IV,Haddock ICES IIIa and North Sea,European Union,1,HADNS
HADROCK,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIb,Haddock Rockall Bank,European Union,1,HADROCK
HADVIa,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIa,Haddock West of Scotland,European Union,1,HADVIa
HADVIIb-k,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIIb-k,Haddock ICES VIIb-k,European Union,0,NA
HAKENRTN,164795,Merluccius merluccius,Hake,multinational-ICES-IIIa-IV-VI-VII-VIIIabd,Hake Northeast Atlantic North,European Union,0,NA
HAKESOTH,164795,Merluccius merluccius,Hake,multinational-ICES-VIIIc-IXa,Hake Northeast Atlantic South,European Union,0,NA
HERR2224IIIa,161722,Clupea harengus,Herring,multinational-ICES-22-24-IIIa,Herring ICES 22-24-IIIa,European Union,0,NA
HERR2532,161722,Clupea harengus,Herring,multinational-ICES-25-32,Herring ICES 25-32,European Union,0,NA
HERR30,161722,Clupea harengus,Herring,multinational-ICES-30,Herring ICES 30,European Union,0,NA
HERR31,161722,Clupea harengus,Herring,multinational-ICES-31,Herring ICES 31,European Union,0,NA
